sample,organism,source,developmental stage,input material,accession number (GSA/GSA-Human),
K562 ATF1 1e5 FItCUT&RUN replicate 1,Homo sapiens,K562,NA,1e5 cells,HRX183129,
K562 ATF1 1e5 FItCUT&RUN replicate 2,Homo sapiens,K562,NA,1e5 cells,HRX183130,
K562 ATF1 1e5 FItCUT&RUN replicate 3,Homo sapiens,K562,NA,1e5 cells,HRX183131,
K562 ATF1 1e4 FItCUT&RUN replicate 1,Homo sapiens,K562,NA,1e4 cells,HRX183132,
K562 ATF1 1e4 FItCUT&RUN replicate 2,Homo sapiens,K562,NA,1e4 cells,HRX183133,
K562 ATF1 1e4 FItCUT&RUN replicate 3,Homo sapiens,K562,NA,1e4 cells,HRX183134,
K562 ATF1 5e3 FItCUT&RUN replicate 1,Homo sapiens,K562,NA,5e3 cells,HRX183135,
K562 ATF1 5e3 FItCUT&RUN replicate 2,Homo sapiens,K562,NA,5e3 cells,HRX183136,
K562 ATF1 5e3 FItCUT&RUN replicate 3,Homo sapiens,K562,NA,5e3 cells,HRX183137,
K562 ELF1 1e5 FItCUT&RUN replicate 1,Homo sapiens,K562,NA,1e5 cells,HRX183138,
K562 ELF1 1e5 FItCUT&RUN replicate 2,Homo sapiens,K562,NA,1e5 cells,HRX183139,
K562 ELF1 1e5 FItCUT&RUN replicate 3,Homo sapiens,K562,NA,1e5 cells,HRX183140,
K562 ELF1 1e4 FItCUT&RUN replicate 1,Homo sapiens,K562,NA,1e4 cells,HRX183141,
K562 ELF1 1e4 FItCUT&RUN replicate 2,Homo sapiens,K562,NA,1e4 cells,HRX183142,
K562 ELF1 1e4 FItCUT&RUN replicate 3,Homo sapiens,K562,NA,1e4 cells,HRX183143,
K562 ELF1 5e3 FItCUT&RUN replicate 1,Homo sapiens,K562,NA,5e3 cells,HRX183144,
K562 ELF1 5e3 FItCUT&RUN replicate 2,Homo sapiens,K562,NA,5e3 cells,HRX183145,
K562 ELF1 5e3 FItCUT&RUN replicate 3,Homo sapiens,K562,NA,5e3 cells,HRX183146,
K562 ATF1 1e5 CUT&RUN replicate 1,Homo sapiens,K562,NA,1e5 cells,HRX332766,
K562 ATF1 1e5 CUT&RUN replicate 2,Homo sapiens,K562,NA,1e5 cells,HRX332767,
K562 ATF1 1e5 CUT&RUN replicate 3,Homo sapiens,K562,NA,1e5 cells,HRX332768,
K562 ATF1 1e5 FLAG-CUT&RUN replicate 1,Homo sapiens,K562,NA,1e5 cells,HRX332769,
K562 ATF1 1e5 FLAG-CUT&RUN replicate 2,Homo sapiens,K562,NA,1e5 cells,HRX332770,
K562 ATF1 1e5 FLAG-CUT&RUN replicate 3,Homo sapiens,K562,NA,1e5 cells,HRX332771,
K562 ATF1 5e3 FLAG-CUT&RUN replicate 1,Homo sapiens,K562,NA,5e3 cells,HRX332772,
K562 ATF1 5e3 FLAG-CUT&RUN replicate 2,Homo sapiens,K562,NA,5e3 cells,HRX332773,
K562 ATF1 5e3 FLAG-CUT&RUN replicate 3,Homo sapiens,K562,NA,5e3 cells,HRX332774,
K562 ELF1 1e5 CUT&RUN replicate 1,Homo sapiens,K562,NA,1e5 cells,HRX332775,
K562 ELF1 1e5 CUT&RUN replicate 2,Homo sapiens,K562,NA,1e5 cells,HRX332776,
K562 ELF1 1e5 CUT&RUN replicate 3,Homo sapiens,K562,NA,1e5 cells,HRX332777,
K562 ELF1 1e5 FLAG-CUT&RUN replicate 1,Homo sapiens,K562,NA,1e5 cells,HRX332778,
K562 ELF1 1e5 FLAG-CUT&RUN replicate 2,Homo sapiens,K562,NA,1e5 cells,HRX332779,
K562 ELF1 1e5 FLAG-CUT&RUN replicate 3,Homo sapiens,K562,NA,1e5 cells,HRX332780,
K562 ELF1 5e3 FLAG-CUT&RUN replicate 1,Homo sapiens,K562,NA,5e3 cells,HRX332781,
K562 ELF1 5e3 FLAG-CUT&RUN replicate 2,Homo sapiens,K562,NA,5e3 cells,HRX332782,
K562 ELF1 5e3 FLAG-CUT&RUN replicate 3,Homo sapiens,K562,NA,5e3 cells,HRX332783,
Nanog 256-cell FitCUT&RUN replicate 1,Danio rerio,whole embryo,256-cell (2.5hpf),200 embryos,CRX235507,
Nanog 256-cell FitCUT&RUN replicate 2,Danio rerio,whole embryo,256-cell (2.5hpf),200 embryos,CRX235508,
Nanog 256-cell FitCUT&RUN replicate 3,Danio rerio,whole embryo,256-cell (2.5hpf),200 embryos,CRX235509,
Nanog 1k-cell FitCUT&RUN replicate 1,Danio rerio,whole embryo,1k-cell (3hpf),100 embryos,CRX235510,
Nanog 1k-cell FitCUT&RUN replicate 2,Danio rerio,whole embryo,1k-cell (3hpf),100 embryos,CRX235511,
Nanog 1k-cell FitCUT&RUN replicate 3,Danio rerio,whole embryo,1k-cell (3hpf),100 embryos,CRX235512,
Nanog dome FitCUT&RUN replicate 1,Danio rerio,whole embryo,dome (4.3hpf),50 embryos,CRX235513,
Nanog dome FitCUT&RUN replicate 2,Danio rerio,whole embryo,dome (4.3hpf),50 embryos,CRX235514,
Nanog dome FitCUT&RUN replicate 3,Danio rerio,whole embryo,dome (4.3hpf),50 embryos,CRX235515,
Nanog dome FitCUT&RUN (20 embryos) replicate 1,Danio rerio,whole embryo,dome (4.3hpf),20 embryos,CRX302604,
Nanog dome FitCUT&RUN (20 embryos) replicate 2,Danio rerio,whole embryo,dome (4.3hpf),20 embryos,CRX302605,
Nanog dome FitCUT&RUN (20 embryos) replicate 3,Danio rerio,whole embryo,dome (4.3hpf),20 embryos,CRX302606,
Pou5f3 dome FitCUT&RUN replicate 1,Danio rerio,whole embryo,dome (4.3hpf),50 embryos,CRX235516,
Pou5f3 dome FitCUT&RUN replicate 2,Danio rerio,whole embryo,dome (4.3hpf),50 embryos,CRX235517,
